epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1211.45,1.49568,2.12303,2.84195,0.5312,0.15483,0.14601,0.08155,1.45566,1.76794,3.4881,8.32e-05,8.32e-05,8.32e-05
42,1243.99,1.37319,1.92218,2.7199,0.5312,0.15483,0.14601,0.08155,1.45566,1.76794,3.4881,7.7162e-05,7.7162e-05,7.7162e-05
43,1276.68,1.60672,2.10644,3.38945,0.5333,0.15548,0.1478,0.08334,1.44652,1.74631,3.50479,7.0728e-05,7.0728e-05,7.0728e-05
44,1308.71,1.46796,2.04644,3.34228,0.5333,0.15548,0.1478,0.08334,1.44652,1.74631,3.50479,6.3898e-05,6.3898e-05,6.3898e-05
45,1338.31,1.36851,1.85238,3.08634,0.5374,0.15291,0.15016,0.08474,1.44238,1.73178,3.49846,5.6672e-05,5.6672e-05,5.6672e-05
46,1370.49,1.37946,1.89331,3.10044,0.5374,0.15291,0.15016,0.08474,1.44238,1.73178,3.49846,4.905e-05,4.905e-05,4.905e-05
47,1401.17,1.47553,1.92014,3.06751,0.53754,0.1534,0.15084,0.08577,1.4346,1.72353,3.48278,4.1032e-05,4.1032e-05,4.1032e-05
48,1431.58,1.33639,1.87521,3.30647,0.53754,0.1534,0.15084,0.08577,1.4346,1.72353,3.48278,3.2618e-05,3.2618e-05,3.2618e-05
49,1462.26,1.35052,1.86336,3.08885,0.53781,0.154,0.15127,0.08647,1.42674,1.7207,3.47346,2.3808e-05,2.3808e-05,2.3808e-05
50,1492.63,1.36312,1.90046,2.9372,0.53781,0.154,0.15127,0.08647,1.42674,1.7207,3.47346,1.4602e-05,1.4602e-05,1.4602e-05
