epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7586,3.20741,4.07583,3.92902,0.65115,0.1,0.03528,0.00763,2.30931,4.33983,3.82406,0,0,0
2,33.5929,3.38103,4.02658,4.34503,0.69865,0.09865,0.0519,0.01105,2.30199,4.34105,3.7927,9.802e-06,9.802e-06,9.802e-06
3,50.9677,3.1146,4.08215,3.5293,0.69689,0.09689,0.05216,0.01104,2.28428,4.33222,3.75382,1.9208e-05,1.9208e-05,1.9208e-05
